SETTLEMENT_TIME,ACTUAL_PRICE,FLUENCE_P50,MARKET_P50,F_DIFF_A,M_DIFF_A
January,757.63166864,688.90616201,612.36056579,288.597987224,448.61932499
February,522.47868928,585.24096651,281.96269889,290.543206501,472.84212211
March,417.48634114,430.491714393,335.23500541,157.234201527,287.52931447
April,285.29880668,313.350951195,286.88474457,78.772235062,102.43778625
May,334.03444273,346.652974445,321.18117686,63.783119751,94.33672667
June,435.08664022,434.084710319,470.57061312,104.615195469,172.5360258
July,531.01988775,538.218239034,509.70783404,96.705082108,118.77431299
August,405.78557654,400.591087808,367.16328211,120.266386348,168.13337841
September,132.65981644,214.204248362,-87.07232837,185.022809306,432.01539169
October,294.49902097,332.944260398,192.16790627,162.569119094,287.4504002
November,316.54084273,332.996431735,196.33962247,127.870031999,262.32839882
December,146.85398823,199.72696368,69.59917601,160.543173541,259.56883318
