SETTLEMENT_TIME,ACTUAL_PRICE,FLUENCE_P50,MARKET_P50,F_DIFF_A,M_DIFF_A
01/01/20,15.97921346,15.6751787,16.19436573,0.88099708,1.10960839
01/02/20,17.42534691,17.1758035,17.76987998,1.20088655,1.58837931
01/03/20,17.612544,17.345383,16.73526188,1.06228208,1.7033081
01/04/20,3.95306122,8.728060883,6.70266318,9.373038941,22.44517292
01/05/20,9.79581722,11.102371584,8.30515239,2.824898324,4.31591475
01/06/20,16.63734416,16.5533373,16.84879015,0.9186807,1.06987577
01/07/20,15.75344099,15.7009313,16.41731226,0.77818655,1.31518295
01/08/20,14.28242309,14.454045185,15.29043238,0.780012205,1.29851147
01/09/20,25.79108511,24.5437788,21.50791252,5.56754641,8.59886289
01/10/20,13.48341125,13.170751153,13.45282952,2.675702017,3.02751097
01/11/20,7.29955555,9.046387324,6.27156846,2.739463598,4.20005617
01/12/20,14.19243166,14.3273546,14.77091274,1.13909718,1.41646634
01/13/20,24.23997068,23.3527644,23.44250342,3.30505794,4.22043126
01/14/20,21.05139134,20.8053745,20.97658647,2.8360857,3.02953401
01/15/20,12.40019771,14.53037117,15.33593636,3.34052758,3.75607579
01/16/20,8.19419702,9.133093682,8.33954712,2.37515029,2.897938
01/17/20,13.50614744,13.0558538,13.12580025,1.40194342,1.70047889
01/18/20,17.25365768,16.6661778,16.11751633,1.39356804,1.90183593
01/19/20,16.06189041,15.9900853,13.93926228,2.28111575,3.38745619
01/20/20,13.99783204,15.6121687,14.06470789,3.83274034,4.71451183
01/21/20,11.81540432,11.9723881,11.764912,1.12298238,1.28906646
01/22/20,12.68069653,13.4025449,11.89964867,2.83306743,2.75009166
01/23/20,2.14863707,8.401836739,2.60518183,7.842133989,6.93952614
01/24/20,16.16861488,15.9994246,16.8068374,1.52382536,1.88049186
01/25/20,15.77914163,15.6801387,16.03688169,0.87583319,1.39547106
01/26/20,15.16401089,15.1326275,15.79112982,0.82959727,1.14077181
01/27/20,18.64111109,18.4777411,18.1858627,1.38814591,1.59511127
01/28/20,18.72768633,18.5621968,18.56716343,1.61303569,2.04510334
01/29/20,21.57460619,20.7362628,18.81047002,3.51717641,4.01338033
01/30/20,226.08765589,193.8730948,149.6899044,135.97717943,270.24396783
01/31/20,99.93314488,49.69863329,36.59363252,80.36802947,77.6292313
