,title,handle,created,product_type,price,sku,available,image
0,Sleep Bundle,sleep-bundle,2021-03-31T15:57:31-04:00,Extras,29.99,SLEEP,True,https://cdn.shopify.com/s/files/1/1488/7742/products/moleskine.jpg?v=1617640114
1,Digital Body Scale (Withings),body-scale,2021-03-22T15:35:37-04:00,Extras,59.95,SCALE-WITH,True,https://cdn.shopify.com/s/files/1/1488/7742/products/body-lb.jpg?v=1616442566
2,Blood Pressure Monitor (Withings),withings-blood-pressure-monitor,2021-03-22T15:51:38-04:00,Extras,99.95,BPMON-WITH,True,https://cdn.shopify.com/s/files/1/1488/7742/products/bpm-connect_lifestyle_visual1.jpg?v=1616443290
3,Digital Membership (1 month),digital-membership-1-month,2021-03-03T12:36:29-05:00,Extras,19.99,us_all_access_01,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Digital-membership_065f2ae0-bf8d-4480-a45b-c8c76dcadeaf.png?v=1614793100
4,Camper Mug,camper-mug,2021-02-26T16:57:43-05:00,Extras,19.99,COFFEEMUG,True,https://cdn.shopify.com/s/files/1/1488/7742/products/camper-mug.jpg?v=1617640107
5,3-Month Diabetes Care Package,3-month-diabetes-care-package,2020-11-13T11:08:17-05:00,,59.99,ww_all_access_stp_03,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Bundle_3-mo.png?v=1606166482
6,3-Month Diabetes Health Package,3-month-diabetes-health-package,2020-11-13T11:06:57-05:00,,89.99,ww_all_access_kit_03,True,https://cdn.shopify.com/s/files/1/1488/7742/products/digital-diabetes-supplies.png?v=1605283716
7,Digital Scale,digital-scale,2020-11-06T17:18:49-05:00,Extras,99.99,SCALE-BLIP,True,https://cdn.shopify.com/s/files/1/1488/7742/products/blipscale.jpg?v=1604701357
8,Digital Membership (12 months),digital-membership-12months,2020-10-19T17:14:28-04:00,Extras,215.89,us_all_access_12,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Digital-membership_b191bca0-02bf-4a97-a11c-2d4c2e19b110.png?v=1604593955
9,Lancets,lancets-2,2020-08-10T15:27:16-04:00,Lancets,12.99,LANCET100,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Lancing-device-lifestyle_a72e7c5c-db8b-4483-9904-48440455c29b.png?v=1604594027
10,Test Strips,test-strips,2020-08-10T15:23:25-04:00,Test Strips,24.99,STPUS050,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Test-strips-lifestyle-50_673b0222-561c-49bd-a480-63add4a2e228.png?v=1604594247
11,Glucose Meter Kit,glucose-meter,2020-08-10T15:13:54-04:00,Glucose Meter,49.99,CHRMUS25BR,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Glucose-meter-lifestyle-ALL.png?v=1604594009
12,Glucose Meter Kit,glucose-meter,2020-08-10T15:13:54-04:00,Glucose Meter,49.99,CHRMUS25BW,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Glucose-meter-lifestyle-ALL.png?v=1604594009
13,Glucose Meter Kit,glucose-meter,2020-08-10T15:13:54-04:00,Glucose Meter,49.99,CHRMUS25BB,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Glucose-meter-lifestyle-ALL.png?v=1604594009
14,Glucose Meter Kit,glucose-meter,2020-08-10T15:13:54-04:00,Glucose Meter,0.00,CHRMUS25BR,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Glucose-meter-lifestyle-ALL.png?v=1604594009
15,Glucose Meter Kit,glucose-meter,2020-08-10T15:13:54-04:00,Glucose Meter,0.00,CHRMUS25BW,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Glucose-meter-lifestyle-ALL.png?v=1604594009
16,Glucose Meter Kit,glucose-meter,2020-08-10T15:13:54-04:00,Glucose Meter,0.00,CHRMUS25BB,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Glucose-meter-lifestyle-ALL.png?v=1604594009
17,Lancet Plan,lancet-plan,2020-08-10T14:16:54-04:00,,11.99,ww_lancets100_01,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Lancing-device-lifestyle_cc9da0dd-a09a-4f1f-b1d2-45b230b1fa73.png?v=1604594027
18,Lancet Plan,lancet-plan,2020-08-10T14:16:54-04:00,,97.09,ww_lancets100_12,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Lancing-device-lifestyle_cc9da0dd-a09a-4f1f-b1d2-45b230b1fa73.png?v=1604594027
19,Test Strip Plan,test-strip-plans,2020-08-10T13:59:34-04:00,,20.99,ww_stp050_01,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Test-strips-lifestyle-50.png?v=1604594245
20,Test Strip Plan,test-strip-plans,2020-08-10T13:59:34-04:00,,226.69,ww_stp050_12,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Test-strips-lifestyle-50.png?v=1604594245
21,Test Strip Plan,test-strip-plans,2020-08-10T13:59:34-04:00,,40.99,ww_stp100_01,True,https://cdn.shopify.com/s/files/1/1488/7742/products/Test-strips-lifestyle-50.png?v=1604594245
